realisation,run_source,delta_v_kms,velocity_sigma_kms,velocity_direction_angle_rad,velocity_seed,stage1_fracture_scale_pc,archived_stage1_fracture_scale_pc,stage1_fracture_abs_error_pc,exact_spatial_reconstruction,stage1_groups,stage1_grouped_stars,forward_s2_first_significant_flags,forward_s2_first_accepted_splits,forward_s2_first_final_groups,forward_s2_first_orphans,forward_s2_first_grouped_stars,forward_s3_second_significant_flags,forward_s3_second_accepted_splits,forward_s3_second_final_groups,forward_s3_second_orphans,forward_s3_second_grouped_stars,forward_mean_completeness,forward_mean_purity,forward_mean_jaccard,forward_templates_detected_ge50pct,forward_strict_recoveries_of_8,forward_overlap_best_groups_separate,forward_formal_overlap_resolved,forward_strict_overlap_resolved,reverse_s3_first_significant_flags,reverse_s3_first_accepted_splits,reverse_s3_first_final_groups,reverse_s3_first_orphans,reverse_s3_first_grouped_stars,reverse_s2_second_significant_flags,reverse_s2_second_accepted_splits,reverse_s2_second_final_groups,reverse_s2_second_orphans,reverse_s2_second_grouped_stars,reverse_mean_completeness,reverse_mean_purity,reverse_mean_jaccard,reverse_templates_detected_ge50pct,reverse_strict_recoveries_of_8,reverse_overlap_best_groups_separate,reverse_formal_overlap_resolved,reverse_strict_overlap_resolved,delta_completeness_reverse_minus_forward,delta_purity_reverse_minus_forward,delta_jaccard_reverse_minus_forward,delta_strict_recoveries_reverse_minus_forward,delta_formal_overlap_reverse_minus_forward,delta_strict_overlap_reverse_minus_forward,same_retention_fraction,elapsed_seconds
0,mc_0000,5.0,1.0,3.489988484439527,20260825,17.034607659265447,17.034607659265447,0.0,True,100,2452,11,4,105,76,2376,1,0,105,0,2376,0.8779400176091643,0.8344399013117432,0.736383489126814,7,6,True,False,False,2,1,101,30,2422,11,4,108,37,2385,0.8939492389206397,0.8519443772781776,0.7518893749822044,8,6,True,True,False,0.01600922131147542,0.017504475966434452,0.015505885855390478,0,1,0,0.9968023961790659,21.041818141937256
1,mc_0001,5.0,1.0,3.961831083182719,20260826,17.02975793523601,17.02975793523601,0.0,True,101,2427,13,6,110,82,2345,0,0,110,0,2345,0.8720507783125282,0.9080322436594683,0.7840364481504418,7,6,True,False,False,1,1,102,18,2409,12,5,109,43,2366,0.8914432817278287,0.9037812678862078,0.8010134041878316,8,6,True,True,False,0.01939250341530052,-0.004250975773260501,0.0169769560373898,0,1,0,0.9980976281065328,21.66329789161682
2,mc_0002,5.0,1.0,4.833512560881695,20260827,17.04193096544586,17.04193096544586,0.0,True,100,2426,14,5,107,78,2348,1,0,107,0,2348,0.9187585382513661,0.9048944546807407,0.8263836238019975,7,7,True,False,False,2,1,101,28,2398,11,2,103,11,2387,0.9979508196721312,0.9014200531112349,0.899671801362983,8,8,True,True,True,0.07919228142076506,-0.0034744015695058472,0.07328817756098549,1,1,1,0.9973690601473326,20.583765029907227
3,mc_0003,5.0,1.0,2.327526136450255,20260828,17.043204459850088,17.043204459850088,0.0,True,101,2411,11,4,108,54,2357,0,0,108,0,2357,0.9187585382513661,0.9015883988907305,0.8213919026786094,7,7,True,False,False,1,1,102,18,2393,8,1,103,2,2391,0.9993169398907104,0.8907493094670823,0.8901021937542595,8,8,True,True,True,0.08055840163934425,-0.010839089423648196,0.06871029107565008,1,1,1,0.9978952481178661,20.858870029449463
4,mc_0004,5.0,1.0,1.4905496987390803,20260829,17.027820392426293,17.027820392426293,0.0,True,99,2440,7,2,104,27,2413,0,0,104,0,2413,0.9288763661202186,0.7989424862036703,0.7319141499637664,7,6,True,False,False,1,1,100,22,2418,7,2,104,10,2408,0.94140625,0.8123613488943776,0.7537675988943776,8,6,True,True,False,0.012529883879781378,0.013418862690707356,0.021853448930611252,0,1,0,0.9985833400793329,25.142395973205566
5,mc_0005,5.0,1.0,5.354146647333957,20260830,17.027820392426293,17.027820392426293,0.0,True,100,2528,13,4,107,113,2415,0,0,107,0,2415,0.9213627049180328,0.8005100861439707,0.7491170610110697,7,7,True,False,False,1,1,101,63,2465,12,3,106,24,2441,0.9407231898907104,0.7973127326014151,0.7571164787931612,8,7,True,True,False,0.019360484972677505,-0.00319735354255557,0.007999417782091567,0,1,0,0.9980571521087995,25.597521781921387
6,mc_0006,5.0,1.0,2.3338096915687427,20260831,16.845794541725994,16.845794541725994,0.0,True,97,2339,9,3,101,31,2308,0,0,101,0,2308,0.9249243860294244,0.8946905228917423,0.8248945168681198,7,7,True,False,False,1,1,98,20,2319,9,3,101,9,2310,0.9315308580239599,0.8940422645307181,0.8287965411595835,8,7,True,True,False,0.006606471994535457,-0.0006482583610242232,0.0039020242914636905,0,1,0,0.998947624058933,24.49765682220459
7,mc_0007,5.0,1.0,0.4940348716259156,20260832,17.018295368341942,17.018295368341942,0.0,True,98,2469,13,5,108,78,2391,0,0,108,0,2391,0.9213627049180328,0.8942756360667939,0.8210968800613996,7,7,True,False,False,1,1,99,67,2402,11,4,105,29,2373,0.939421106557377,0.886796726267962,0.8379591658814887,8,7,True,True,False,0.018058401639344135,-0.007478909798831923,0.016862285820089085,0,1,0,0.9966809681858658,25.52914595603943
8,mc_0008,5.0,1.0,3.193245037579377,20260833,17.018295368341942,17.018295368341942,0.0,True,100,2439,10,3,104,94,2345,0,0,104,0,2345,0.9226647882513661,0.9041126114164817,0.8299082154246715,7,7,True,False,False,1,1,101,43,2396,11,4,107,48,2348,0.9305093066939891,0.9057176850149784,0.8379762874292824,8,7,True,True,False,0.007844518442623016,0.001605073598496709,0.008068072004610904,0,1,0,0.998826196065733,22.125461101531982
9,mc_0009,5.0,1.0,1.7054631439414238,20260834,17.027820392426293,17.027820392426293,0.0,True,102,2401,10,4,108,54,2347,0,0,108,0,2347,0.9194095799180328,0.9362272804432802,0.8572973128414376,7,7,True,False,False,1,1,103,17,2384,9,3,108,12,2372,0.9407231898907104,0.9351597093203934,0.8816104683021443,8,7,True,True,False,0.021313609972677505,-0.0010675711228868012,0.02431315546070667,0,1,0,0.9980976281065328,22.514335870742798
