realisation,condition,av_error_sigma_mag,stage1_fracture_scale_pc,stage1_fracture_abs_error_pc,exact_spatial_reconstruction,mean_completeness,mean_purity,mean_jaccard,templates_detected_ge50pct,strict_recoveries_of_8,overlap_best_groups_separate,formal_overlap_resolved,strict_overlap_resolved,s2_significant_flags,s2_accepted_splits,s2_final_groups,s2_orphans,mean_completeness_baseline,mean_purity_baseline,mean_jaccard_baseline,strict_recoveries_of_8_baseline,formal_overlap_resolved_baseline,overlap_best_groups_separate_baseline,strict_overlap_resolved_baseline,s2_accepted_splits_baseline,s2_orphans_baseline,delta_mean_completeness_vs_baseline,delta_mean_purity_vs_baseline,delta_mean_jaccard_vs_baseline,delta_strict_recoveries_of_8_vs_baseline,delta_formal_overlap_resolved_vs_baseline,delta_overlap_best_groups_separate_vs_baseline,delta_strict_overlap_resolved_vs_baseline,delta_s2_accepted_splits_vs_baseline,delta_s2_orphans_vs_baseline
0,baseline,0.0,17.034607659265447,0.0,True,0.8779400176091643,0.8344399013117432,0.736383489126814,7,6,True,False,False,11,4,105,76,0.8779400176091643,0.8344399013117432,0.736383489126814,6,False,True,False,4,76,0.0,0.0,0.0,0,0,0,0,0,0
0,av_sigma_0.025,0.025,17.034607659265447,0.0,True,0.9187585382513661,0.8537065826057777,0.7792653535449834,7,7,True,False,False,8,4,105,78,0.8779400176091643,0.8344399013117432,0.736383489126814,6,False,True,False,4,76,0.040818520642201817,0.019266681294034527,0.042881864418169435,1,0,0,0,0,2
0,av_sigma_0.05,0.05,17.034607659265447,0.0,True,0.9174564549180328,0.8535171886663837,0.7780027272823571,7,7,True,False,False,6,3,104,78,0.8779400176091643,0.8344399013117432,0.736383489126814,6,False,True,False,4,76,0.03951643730886856,0.019077287354640537,0.04161923815554314,1,0,0,0,-1,2
0,av_sigma_0.1,0.1,17.034607659265447,0.0,True,0.9233158299180328,0.8273119521729593,0.7755707019094131,7,7,True,False,False,3,2,103,67,0.8779400176091643,0.8344399013117432,0.736383489126814,6,False,True,False,4,76,0.04537581230886856,-0.007127949138783896,0.03918721278259918,1,0,0,0,-2,-9
0,av_sigma_0.2,0.2,17.034607659265447,0.0,True,0.9218643271857924,0.8300021008130605,0.7712299095041045,8,6,True,True,False,2,2,103,83,0.8779400176091643,0.8344399013117432,0.736383489126814,6,False,True,False,4,76,0.04392430957662807,-0.004437800498682698,0.03484642037729058,0,1,0,0,-2,7
1,baseline,0.0,17.02975793523601,0.0,True,0.8720507783125282,0.9080322436594683,0.7840364481504418,7,6,True,False,False,13,6,110,82,0.8720507783125282,0.9080322436594683,0.7840364481504418,6,False,True,False,6,82,0.0,0.0,0.0,0,0,0,0,0,0
1,av_sigma_0.025,0.025,17.02975793523601,0.0,True,0.9125288459730787,0.9034466281390834,0.8185688097203552,7,7,True,False,False,7,5,108,78,0.8720507783125282,0.9080322436594683,0.7840364481504418,6,False,True,False,6,82,0.04047806766055051,-0.004585615520384945,0.03453236156991335,1,0,0,0,-1,-4
1,av_sigma_0.05,0.05,17.02975793523601,0.0,True,0.915784054306412,0.9074017665980592,0.8242698374307839,7,7,True,False,False,4,3,104,77,0.8720507783125282,0.9080322436594683,0.7840364481504418,6,False,True,False,6,82,0.04373327599388377,-0.0006304770614091737,0.040233389280342036,1,0,0,0,-3,-5
1,av_sigma_0.1,0.1,17.02975793523601,0.0,True,0.9220137465846995,0.8792363282096893,0.8028226967961782,7,7,True,False,False,4,3,106,63,0.8720507783125282,0.9080322436594683,0.7840364481504418,6,False,True,False,6,82,0.04996296827217128,-0.028795915449778997,0.018786248645736414,1,0,0,0,-3,-19
1,av_sigma_0.2,0.2,17.02975793523601,0.0,True,0.9334123121584699,0.879633054466259,0.8152068024024175,8,7,True,True,False,2,2,106,60,0.8720507783125282,0.9080322436594683,0.7840364481504418,6,False,True,False,6,82,0.061361533845941674,-0.028399189193209384,0.031170354251975674,1,1,0,0,-4,-22
