realisation,gate_factor,delta_bic_threshold,separation_threshold,delta_v_kms,intrinsic_velocity_sigma_kms,velocity_seed,velocity_direction_angle_rad,angle_matches_archived_table3,exact_spatial_reconstruction,stage1_fracture_abs_error_pc,stage1_radius_graph_pairs,t01_stage1_best_group,t02_stage1_best_group,stage1_already_separate,target_parent_gid,s3_accepted_splits,s3_orphans,mean_completeness,mean_purity,mean_jaccard,templates_detected_ge50pct,strict_recoveries_of_8,overlap_best_groups_separate,formal_overlap_resolved,strict_overlap_resolved
0,0.8,8.0,1.6,3.0,1.0,50260725,3.489988484439527,True,True,0.0,15922,4,4,False,4,0,0,1.0,0.7193180544672495,0.7193180544672495,8,6,False,False,False
0,0.9,9.0,1.8,3.0,1.0,50260725,3.489988484439527,True,True,0.0,15922,4,4,False,4,0,0,1.0,0.7193180544672495,0.7193180544672495,8,6,False,False,False
0,1.0,10.0,2.0,3.0,1.0,50260725,3.489988484439527,True,True,0.0,15922,4,4,False,4,0,0,1.0,0.7193180544672495,0.7193180544672495,8,6,False,False,False
0,1.1,11.0,2.2,3.0,1.0,50260725,3.489988484439527,True,True,0.0,15922,4,4,False,4,0,0,1.0,0.7193180544672495,0.7193180544672495,8,6,False,False,False
0,1.2,12.0,2.4,3.0,1.0,50260725,3.489988484439527,True,True,0.0,15922,4,4,False,4,0,0,1.0,0.7193180544672495,0.7193180544672495,8,6,False,False,False
1,0.8,8.0,1.6,3.0,1.0,50260726,3.961831083182719,True,True,0.0,15816,8,8,False,8,1,34,0.9862000512295082,0.8689198784832226,0.8566428659428122,8,8,True,True,True
1,0.9,9.0,1.8,3.0,1.0,50260726,3.961831083182719,True,True,0.0,15816,8,8,False,8,1,34,0.9862000512295082,0.8689198784832226,0.8566428659428122,8,8,True,True,True
1,1.0,10.0,2.0,3.0,1.0,50260726,3.961831083182719,True,True,0.0,15816,8,8,False,8,1,34,0.9862000512295082,0.8689198784832226,0.8566428659428122,8,8,True,True,True
1,1.1,11.0,2.2,3.0,1.0,50260726,3.961831083182719,True,True,0.0,15816,8,8,False,8,1,34,0.9862000512295082,0.8689198784832226,0.8566428659428122,8,8,True,True,True
1,1.2,12.0,2.4,3.0,1.0,50260726,3.961831083182719,True,True,0.0,15816,8,8,False,8,1,34,0.9862000512295082,0.8689198784832226,0.8566428659428122,8,8,True,True,True
2,0.8,8.0,1.6,3.0,1.0,50260727,4.833512560881695,True,True,0.0,15845,2,2,False,2,0,0,1.0,0.7421885182420709,0.7421885182420709,8,6,False,False,False
2,0.9,9.0,1.8,3.0,1.0,50260727,4.833512560881695,True,True,0.0,15845,2,2,False,2,0,0,1.0,0.7421885182420709,0.7421885182420709,8,6,False,False,False
2,1.0,10.0,2.0,3.0,1.0,50260727,4.833512560881695,True,True,0.0,15845,2,2,False,2,0,0,1.0,0.7421885182420709,0.7421885182420709,8,6,False,False,False
2,1.1,11.0,2.2,3.0,1.0,50260727,4.833512560881695,True,True,0.0,15845,2,2,False,2,0,0,1.0,0.7421885182420709,0.7421885182420709,8,6,False,False,False
2,1.2,12.0,2.4,3.0,1.0,50260727,4.833512560881695,True,True,0.0,15845,2,2,False,2,0,0,1.0,0.7421885182420709,0.7421885182420709,8,6,False,False,False
3,0.8,8.0,1.6,3.0,1.0,50260728,2.327526136450255,True,True,0.0,15675,9,9,False,9,0,0,1.0,0.7693224871006205,0.7693224871006205,8,6,False,False,False
3,0.9,9.0,1.8,3.0,1.0,50260728,2.327526136450255,True,True,0.0,15675,9,9,False,9,0,0,1.0,0.7693224871006205,0.7693224871006205,8,6,False,False,False
3,1.0,10.0,2.0,3.0,1.0,50260728,2.327526136450255,True,True,0.0,15675,9,9,False,9,0,0,1.0,0.7693224871006205,0.7693224871006205,8,6,False,False,False
3,1.1,11.0,2.2,3.0,1.0,50260728,2.327526136450255,True,True,0.0,15675,9,9,False,9,0,0,1.0,0.7693224871006205,0.7693224871006205,8,6,False,False,False
3,1.2,12.0,2.4,3.0,1.0,50260728,2.327526136450255,True,True,0.0,15675,9,9,False,9,0,0,1.0,0.7693224871006205,0.7693224871006205,8,6,False,False,False
