realisation,condition,velocity_error_sigma_kms,intrinsic_velocity_sigma_kms,effective_per_component_sigma_kms,delta_v_kms,delta_v_over_effective_sigma,mc_seed_base,velocity_seed_offset,intrinsic_velocity_seed,observational_error_seed,velocity_direction_angle_rad,stage1_fracture_scale_pc,stage1_groups,target_parent_status,mean_completeness,mean_purity,mean_jaccard,strict_recoveries_of_8,formal_overlap_resolved,overlap_best_groups_separate,mean_fragment_count,s3_passes,s3_significant_flags,s3_accepted_splits,s3_final_groups,s3_orphans
0,baseline,0.0,1.0,1.0,5.0,5.0,20260725,30000000,50260725,20260831,3.489988484439527,17.034607659265447,100,target_parent_tested,0.9986338797814208,0.8405187860094758,0.8393287481386574,8,True,True,1.0,2,1,1,2,30
0,vobs_sigma_0.25,0.25,1.0,1.0307764064044151,5.0,4.85071250072666,20260725,30000000,50260725,20260831,3.489988484439527,17.034607659265447,100,target_parent_tested,0.9986338797814208,0.8397963749056763,0.8385295775932462,8,True,True,1.0,2,1,1,2,27
0,vobs_sigma_0.5,0.5,1.0,1.118033988749895,5.0,4.47213595499958,20260725,30000000,50260725,20260831,3.489988484439527,17.034607659265447,100,target_parent_tested,0.9927104678961748,0.842676818880994,0.8366251031042715,8,True,True,1.0,2,1,1,2,43
0,vobs_sigma_1,1.0,1.0,1.4142135623730951,5.0,3.5355339059327373,20260725,30000000,50260725,20260831,3.489988484439527,17.034607659265447,100,target_parent_tested,0.9893271857923498,0.8425000807742757,0.8334201296614903,8,True,True,1.0,2,1,1,2,48
0,vobs_sigma_2,2.0,1.0,2.23606797749979,5.0,2.23606797749979,20260725,30000000,50260725,20260831,3.489988484439527,17.034607659265447,100,target_parent_tested,1.0,0.7193180544672495,0.7193180544672495,6,False,False,1.0,1,0,0,1,0
1,baseline,0.0,1.0,1.0,5.0,5.0,20260725,30000000,50260726,20260832,3.961831083182719,17.02975793523601,101,target_parent_tested,0.9973317964480874,0.8702532623073855,0.8678583496255496,8,True,True,1.0,2,1,1,2,18
1,vobs_sigma_0.25,0.25,1.0,1.0307764064044151,5.0,4.85071250072666,20260725,30000000,50260726,20260832,3.961831083182719,17.02975793523601,101,target_parent_tested,0.997982838114754,0.8697216030499064,0.8679027493413913,8,True,True,1.0,2,1,1,2,16
1,vobs_sigma_0.5,0.5,1.0,1.118033988749895,5.0,4.47213595499958,20260725,30000000,50260726,20260832,3.961831083182719,17.02975793523601,101,target_parent_tested,0.9986658982240436,0.8696496144785222,0.8684591551006493,8,True,True,1.0,2,1,1,2,15
1,vobs_sigma_1,1.0,1.0,1.4142135623730951,5.0,3.5355339059327373,20260725,30000000,50260726,20260832,3.961831083182719,17.02975793523601,101,target_parent_tested,0.9894232411202186,0.8678977727718391,0.8586057690147864,8,True,True,1.0,2,1,1,2,27
1,vobs_sigma_2,2.0,1.0,2.23606797749979,5.0,2.23606797749979,20260725,30000000,50260726,20260832,3.961831083182719,17.02975793523601,101,target_parent_tested,1.0,0.7478784619994483,0.7478784619994483,6,False,False,1.0,1,0,0,1,0
2,baseline,0.0,1.0,1.0,5.0,5.0,20260725,30000000,50260727,20260833,4.833512560881695,17.04193096544586,100,target_parent_tested,0.9986658982240436,0.8696293669937043,0.8684461036780338,8,True,True,1.0,2,1,1,2,38
2,vobs_sigma_0.25,0.25,1.0,1.0307764064044151,5.0,4.85071250072666,20260725,30000000,50260727,20260833,4.833512560881695,17.04193096544586,100,target_parent_tested,0.9986338797814208,0.8702214662624048,0.8690191280134343,8,True,True,1.0,2,1,1,2,39
2,vobs_sigma_0.5,0.5,1.0,1.118033988749895,5.0,4.47213595499958,20260725,30000000,50260727,20260833,4.833512560881695,17.04193096544586,100,target_parent_tested,0.9959976946721312,0.8706857745485239,0.8671025241670214,8,True,True,1.0,2,1,1,2,44
2,vobs_sigma_1,1.0,1.0,1.4142135623730951,5.0,3.5355339059327373,20260725,30000000,50260727,20260833,4.833512560881695,17.04193096544586,100,target_parent_tested,0.9796576161202186,0.8682263664340306,0.8497029625835941,8,True,True,1.0,2,1,1,2,66
2,vobs_sigma_2,2.0,1.0,2.23606797749979,5.0,2.23606797749979,20260725,30000000,50260727,20260833,4.833512560881695,17.04193096544586,100,target_parent_tested,1.0,0.7421885182420709,0.7421885182420709,6,False,False,1.0,1,0,0,1,0
